jobID,jobPrimaryCategory,jobSubCategory
1,Computer Science,Software
2, Computer Science, Software Engineer
3,Administration & Office Support,Assistant
4,Advertising/Arts/Media,Agency Account Management
5,Banking & Financial Services,Account & Relationship Management
6,Call Centre & Customer Service,Collections
7,CEO & General Management,Board Appointments
8,Community Services,Aged & Disability Support
9,Construction,Contracts Management
10,Consulting & Strategy,Analyst
11,Design & Architecture,Architecture Drafting
12,Education & Training,Childcare & Outside School Hours Care
13,Engineering,Aerospace Engineering
14,Farming/Animals & Conservation,Agronomy & Farm Services
15,Government & Defence,Air Force
16,Healthcare & Medical,Ambulance/Paramedics
17,Hospitality & Tourism,Airlines
18,Human Resources & Recruitment,Consulting & Generalist HR
19,Information & Communication Technology,Architects
20,Insurance & Superannuation,Actuarial
21,Legal,Banking & Finance Law
22,Manufacturing/Transport & Logistics,Analysis & Reporting
23,Marketing & Communications,Brand Management
24,Mining/Resources & Energy,Analysis & Reporting
25,Real Estate & Property,Administration
26,Retail & Consumer Products,Buying
27,Sales,Account & Relationship Management
28,Science & Technology,Biological & Biomedical Sciences
29,Self Employment,Self Employment
30,Sport & Recreation,Coaching & Instruction
30,Banking & Financial Services,Account & Relationship Management
30,Banking & Financial Services,Account & Relationship Management
31,Engineering,Systems Engineering
32,Call Centre & Customer Service,Collections
33,Accounting,Accounts Officers/Clerks
29,Accounting,Accounts Officers/Clerks
29,Banking & Financial Services,Client Services
29,Accounting,Accounts Officers/Clerks
30,Accounting,Accounts Officers/Clerks
31,Accounting,Accounts Officers/Clerks
32,Advertising/Arts/Media,Agency Account Management
33,CEO & General Management,Board Appointments
34,CEO & General Management,CEO
35,Call Centre & Customer Service,Management & Support
29,Banking & Financial Services,Client Services
30,Accounting,Accounts Officers/Clerks
31,Accounting,Accounts Officers/Clerks
32,Accounting,Accounts Officers/Clerks
33,Accounting,Accounts Officers/Clerks
34,Accounting,Accounts Officers/Clerks
35,Engineering,Systems Engineering
36,Information & Communication Technology,Developers/Programmers
36,Advertising/Arts/Media,Promotions
37,Administration & Office Support,Assistant
38,Sales,Sales Representatives/Consultants
39,Retail & Consumer Products,Management - Store
40,Construction,Surveying
41,Retail & Consumer Products,Retail Assistants

