locationID,locationState,PostCode,City
1,NSW,1100,SYDNEY
2,NSW,1215,AUSTRALIA SQUARE
3,NSW,1220,GROSVENOR PLACE
4,NSW,1225,ROYAL EXCHANGE
5,NSW,1230,QUEEN VICTORIA BUILDING
6,NSW,1231,SYDNEY SOUTH
7,NSW,1235,SYDNEY SOUTH
8,NSW,1239,HAYMARKET
9,NSW,1240,HAYMARKET
10,NSW,1291,SYDNEY
11,NSW,1300,DARLINGHURST
12,NSW,1335,POTTS POINT
13,NSW,1340,KINGS CROSS
14,NSW,1360,DOUBLE BAY
15,NSW,1405,CHULLORA
16,NSW,1435,ALEXANDRIA
17,NSW,1445,ROSEBERY
18,NSW,1450,CAMPERDOWN
19,NSW,1460,MASCOT
20,NSW,1465,KENSINGTON
21,NSW,1466,UNSW SYDNEY
22,NSW,1470,DRUMMOYNE
23,NSW,1475,MARRICKVILLE
24,NSW,1480,KINGSGROVE
25,NSW,1481,HURSTVILLE BC
26,NSW,1485,KOGARAH
27,NSW,1495,CARINGBAH
28,NSW,1515,WEST CHATSWOOD
29,NSW,1560,NORTHBRIDGE
30,NSW,1565,MILSONS POINT
31,NSW,1570,ARTARMON
32,NSW,1590,ST LEONARDS
33,NSW,1595,LANE COVE
34,NSW,1602,LANE COVE DC
35,NSW,1630,HORNSBY
36,NSW,1635,HORNSBY WESTFIELD
37,NSW,1640,FRENCHS FOREST
38,NSW,1655,MANLY
39,NSW,1670,NORTH RYDE
40,NSW,1670,NORTH RYDE BC
41,NSW,1675,GLADESVILLE
42,NSW,1680,RYDE
43,NSW,1685,WEST RYDE
44,NSW,1700,ERMINGTON
45,NSW,1710,EPPING
46,NSW,1715,PENNANT HILLS
47,NSW,1730,SEVEN HILLS
48,NSW,1750,NORTH PARRAMATTA
49,NSW,1755,BAULKHAM HILLS
50,NSW,1765,CASTLE HILL
51,NSW,1790,ST MARYS
52,NSW,1800,ASHFIELD
53,NSW,1811,SILVERWATER
54,NSW,1825,LIDCOMBE
55,NSW,1835,AUBURN
56,NSW,1860,FAIRFIELD
57,NSW,1871,LIVERPOOL
58,NSW,1874,MOOREBANK
59,NSW,1875,MOOREBANK
60,NSW,1885,BANKSTOWN
61,NSW,1890,INGLEBURN
62,ACT,200,AUSTRALIAN NATIONAL UNIVERSITY
63,NSW,2000,BARANGAROO
64,NSW,2000,DAWES POINT
65,NSW,2000,HAYMARKET
66,NSW,2000,MILLERS POINT
67,NSW,2000,PARLIAMENT HOUSE
68,NSW,2000,SYDNEY
69,NSW,2000,SYDNEY SOUTH
70,NSW,2000,THE ROCKS
71,NSW,2001,SYDNEY
72,NSW,2004,EASTERN SUBURBS MC
73,NSW,2006,THE UNIVERSITY OF SYDNEY
74,NSW,2007,ULTIMO
75,NSW,2008,CHIPPENDALE
76,NSW,2008,DARLINGTON
77,NSW,2009,PYRMONT
78,NSW,2010,DARLINGHURST
79,NSW,2011,ELIZABETH BAY
80,NSW,2011,POTTS POINT
81,NSW,2011,RUSHCUTTERS BAY
82,NSW,2015,ALEXANDRIA
83,NSW,2015,BEACONSFIELD
84,NSW,2015,EVELEIGH
85,NSW,2016,REDFERN
86,NSW,2017,WATERLOO
87,NSW,2017,WATERLOO DC
88,NSW,2017,ZETLAND
89,NSW,2018,EASTLAKES
90,NSW,2018,ROSEBERY
91,NSW,2019,BANKSMEADOW
92,NSW,2020,MASCOT
93,NSW,2020,SYDNEY DOMESTIC AIRPORT
94,NSW,2020,SYDNEY INTERNATIONAL AIRPORT
95,NSW,2021,CENTENNIAL PARK
96,NSW,2021,PADDINGTON
97,NSW,2022,QUEENS PARK
98,NSW,2023,BELLEVUE HILL
99,NSW,2024,WAVERLEY
100,NSW,2026,NORTH BONDI
101,NSW,2026,TAMARAMA
102,NSW,2027,DARLING POINT
103,NSW,2027,EDGECLIFF
104,NSW,2027,HMAS RUSHCUTTERS
105,NSW,2027,POINT PIPER
106,NSW,2028,DOUBLE BAY
107,NSW,2029,ROSE BAY
108,NSW,2030,DOVER HEIGHTS
109,NSW,2030,HMAS WATSON
110,NSW,2030,ROSE BAY NORTH
111,NSW,2030,VAUCLUSE
112,NSW,2030,WATSONS BAY
113,NSW,2031,CLOVELLY
114,NSW,2031,CLOVELLY WEST
115,NSW,2031,RANDWICK
116,NSW,2031,RANDWICK DC
117,NSW,2031,ST PAULS
118,NSW,2032,DACEYVILLE
119,NSW,2032,KINGSFORD
120,NSW,2033,KENSINGTON
121,NSW,2034,SOUTH COOGEE
122,NSW,2035,MAROUBRA
123,NSW,2035,MAROUBRA SOUTH
124,NSW,2035,PAGEWOOD
125,NSW,2036,CHIFLEY
126,NSW,2036,EASTGARDENS
127,NSW,2036,HILLSDALE
128,NSW,2036,LA PEROUSE
129,NSW,2036,LITTLE BAY
130,NSW,2036,MALABAR
131,NSW,2036,MATRAVILLE
132,NSW,2036,PHILLIP BAY
133,NSW,2036,PORT BOTANY
134,NSW,2037,FOREST LODGE
135,NSW,2037,GLEBE
136,NSW,2038,ANNANDALE
137,NSW,2039,ROZELLE
138,NSW,2040,LEICHHARDT
139,NSW,2040,LILYFIELD
140,NSW,2041,BALMAIN
141,NSW,2041,BALMAIN EAST
142,NSW,2041,BIRCHGROVE
143,NSW,2042,ENMORE
144,NSW,2042,NEWTOWN
145,NSW,2043,ERSKINEVILLE
146,NSW,2044,ST PETERS
147,NSW,2044,ST PETERS DC
148,NSW,2044,TEMPE
149,NSW,2045,HABERFIELD
150,NSW,2046,ABBOTSFORD
151,NSW,2046,CANADA BAY
152,NSW,2046,CHISWICK
153,NSW,2046,FIVE DOCK
154,NSW,2046,RODD POINT
155,NSW,2046,RUSSELL LEA
156,NSW,2046,WAREEMBA
157,NSW,2047,DRUMMOYNE
158,NSW,2048,STANMORE
159,NSW,2048,WESTGATE
160,NSW,2049,LEWISHAM
161,NSW,2049,PETERSHAM
162,NSW,2049,PETERSHAM NORTH
163,NSW,2050,CAMPERDOWN
164,NSW,2055,NORTH SYDNEY
165,NSW,2057,CHATSWOOD
166,NSW,2059,NORTH SYDNEY
167,NSW,2060,HMAS PLATYPUS
168,NSW,2060,HMAS WATERHEN
169,NSW,2060,LAVENDER BAY
170,NSW,2060,MCMAHONS POINT
171,NSW,2060,NORTH SYDNEY
172,NSW,2060,NORTH SYDNEY SHOPPINGWORLD
173,NSW,2060,WAVERTON
174,NSW,2061,KIRRIBILLI
175,NSW,2061,MILSONS POINT
176,NSW,2062,CAMMERAY
177,NSW,2063,NORTHBRIDGE
178,NSW,2064,ARTARMON
179,NSW,2065,GREENWICH
180,NSW,2065,NAREMBURN
181,NSW,2065,ROYAL NORTH SHORE HOSPITAL
182,NSW,2065,ST LEONARDS
183,NSW,2066,LANE COVE
184,NSW,2066,LANE COVE DC
185,NSW,2066,LANE COVE NORTH
186,NSW,2066,LANE COVE WEST
187,NSW,2066,LINLEY POINT
188,NSW,2066,LONGUEVILLE
189,NSW,2066,NORTHWOOD
190,NSW,2066,RIVERVIEW
191,NSW,2067,CHATSWOOD
192,NSW,2067,CHATSWOOD WEST
193,NSW,2068,CASTLECRAG
194,NSW,2068,MIDDLE COVE
195,NSW,2068,NORTH WILLOUGHBY
196,NSW,2068,WILLOUGHBY NORTH
197,NSW,2069,CASTLE COVE
198,NSW,2069,ROSEVILLE
199,NSW,2069,ROSEVILLE CHASE
200,NSW,2070,EAST LINDFIELD
201,NSW,2070,LINDFIELD
202,NSW,2070,LINDFIELD WEST
203,NSW,2071,EAST KILLARA
204,NSW,2071,KILLARA
205,NSW,2072,GORDON
206,NSW,2073,PYMBLE
207,NSW,2073,WEST PYMBLE
208,NSW,2074,NORTH TURRAMURRA
209,NSW,2074,SOUTH TURRAMURRA
210,NSW,2074,WARRAWEE
211,NSW,2075,ST IVES
212,NSW,2075,ST IVES CHASE
213,NSW,2076,NORMANHURST
214,NSW,2076,NORTH WAHROONGA
215,NSW,2076,WAHROONGA
216,NSW,2077,ASQUITH
217,NSW,2077,HORNSBY
218,NSW,2077,HORNSBY HEIGHTS
219,NSW,2077,WAITARA
220,NSW,2081,BEROWRA
221,NSW,2082,BEROWRA CREEK
222,NSW,2082,BEROWRA HEIGHTS
223,NSW,2082,BEROWRA WATERS
224,NSW,2083,BAR POINT
225,NSW,2083,CHEERO POINT
226,NSW,2083,DANGAR ISLAND
227,NSW,2083,MILSONS PASSAGE
228,NSW,2084,DUFFYS FOREST
229,NSW,2084,TERREY HILLS
230,NSW,2085,BELROSE
231,NSW,2085,BELROSE WEST
232,NSW,2085,DAVIDSON
233,NSW,2086,FRENCHS FOREST
234,NSW,2086,FRENCHS FOREST EAST
235,NSW,2087,FORESTVILLE
236,NSW,2087,KILLARNEY HEIGHTS
237,NSW,2088,SPIT JUNCTION
238,NSW,2089,KURRABA POINT
239,NSW,2089,NEUTRAL BAY
240,NSW,2089,NEUTRAL BAY JUNCTION
241,NSW,2092,SEAFORTH
242,NSW,2093,BALGOWLAH
243,NSW,2093,BALGOWLAH HEIGHTS
244,NSW,2093,CLONTARF
245,NSW,2093,MANLY VALE
246,NSW,2093,NORTH BALGOWLAH
247,NSW,2094,FAIRLIGHT
248,NSW,2095,MANLY
249,NSW,2095,MANLY EAST
250,NSW,2096,FRESHWATER
251,NSW,2096,QUEENSCLIFF
252,NSW,2097,WHEELER HEIGHTS
253,NSW,2099,DEE WHY
254,NSW,2099,NARRAWEENA
255,NSW,2099,NORTH CURL CURL
256,NSW,2100,ALLAMBIE HEIGHTS
257,NSW,2100,BEACON HILL
258,NSW,2100,NORTH MANLY
259,NSW,2100,OXFORD FALLS
260,NSW,2100,WARRINGAH MALL
261,NSW,2101,ELANORA HEIGHTS
262,NSW,2101,INGLESIDE
263,NSW,2101,NARRABEEN
264,NSW,2101,NORTH NARRABEEN
265,NSW,2102,WARRIEWOOD
266,NSW,2102,WARRIEWOOD SHOPPING SQUARE
267,NSW,2104,BAYVIEW
268,NSW,2105,CHURCH POINT
269,NSW,2105,ELVINA BAY
270,NSW,2105,LOVETT BAY
271,NSW,2105,MCCARRS CREEK
272,NSW,2105,SCOTLAND ISLAND
273,NSW,2106,NEWPORT
274,NSW,2106,NEWPORT BEACH
275,NSW,2107,AVALON BEACH
276,NSW,2107,BILGOLA BEACH
277,NSW,2107,BILGOLA PLATEAU
278,NSW,2107,CLAREVILLE
279,NSW,2107,WHALE BEACH
280,NSW,2108,COASTERS RETREAT
281,NSW,2108,GREAT MACKEREL BEACH
282,NSW,2108,PALM BEACH
283,NSW,2109,MACQUARIE UNIVERSITY
284,NSW,2110,HUNTERS HILL
285,NSW,2111,GLADESVILLE
286,NSW,2111,HENLEY
287,NSW,2111,HUNTLEYS COVE
288,NSW,2111,HUNTLEYS POINT
289,NSW,2111,TENNYSON POINT
290,NSW,2112,DENISTONE EAST
